timestamp,temperature,humidity,prediction,confidence
2026-07-20 22:45:06,26.3,42.9,NORMAL,72.0
2026-07-20 22:45:09,25.1,45.1,NORMAL,72.0
2026-07-20 22:45:12,25.1,45.4,NORMAL,72.0
2026-07-20 22:45:16,25.1,45.6,NORMAL,72.0
2026-07-20 22:45:19,25.1,45.5,NORMAL,72.0
2026-07-20 22:45:23,25.1,46.1,NORMAL,72.0
2026-07-20 22:45:26,25.1,46.4,NORMAL,72.0
2026-07-20 22:45:32,25.1,46.3,NORMAL,72.0
2026-07-20 22:45:37,25.1,46.5,NORMAL,72.0
2026-07-20 22:45:41,25.1,46.4,NORMAL,72.0
2026-07-20 22:45:44,25.1,46.4,NORMAL,72.0
2026-07-20 22:45:50,25.1,46.2,NORMAL,72.0
2026-07-20 22:45:53,25.1,45.9,NORMAL,72.0
2026-07-20 22:45:57,25.1,46.0,NORMAL,72.0
2026-07-20 22:46:02,25.1,45.6,NORMAL,72.0
2026-07-20 22:46:06,25.1,45.5,NORMAL,72.0
2026-07-20 22:46:09,25.1,45.4,NORMAL,72.0
2026-07-20 22:46:13,25.1,45.4,NORMAL,72.0
2026-07-20 22:46:16,25.1,45.3,NORMAL,72.0
2026-07-20 22:46:19,25.1,45.2,NORMAL,72.0
2026-07-20 22:46:23,25.1,45.3,NORMAL,72.0
2026-07-20 22:46:29,25.1,45.2,NORMAL,72.0
2026-07-20 22:46:32,25.1,45.1,NORMAL,72.0
2026-07-20 22:46:35,25.1,45.1,NORMAL,72.0
2026-07-20 22:46:39,25.1,45.1,NORMAL,72.0
2026-07-20 22:46:42,25.1,45.1,NORMAL,72.0
2026-07-20 22:46:46,25.1,45.1,NORMAL,72.0
2026-07-20 22:46:49,25.1,45.0,NORMAL,72.0
2026-07-20 22:46:55,25.1,45.1,NORMAL,72.0
2026-07-20 23:00:10,25.1,44.8,NORMAL,72.0
2026-07-20 23:00:13,25.1,44.9,NORMAL,72.0
2026-07-20 23:00:17,25.1,44.8,NORMAL,72.0
2026-07-20 23:00:20,25.1,44.9,NORMAL,72.0
2026-07-20 23:00:24,25.1,44.9,NORMAL,72.0
2026-07-20 23:00:27,25.2,44.9,NORMAL,72.0
2026-07-20 23:00:33,25.1,45.5,NORMAL,72.0
2026-07-20 23:00:38,25.1,45.5,NORMAL,72.0
2026-07-20 23:00:42,25.1,45.5,NORMAL,72.0
2026-07-20 23:00:45,25.1,45.5,NORMAL,72.0
2026-07-20 23:00:51,25.1,45.3,NORMAL,72.0
2026-07-20 23:00:54,25.1,45.3,NORMAL,72.0
2026-07-20 23:00:58,25.1,45.3,NORMAL,72.0
2026-07-20 23:01:04,25.1,45.1,NORMAL,72.0
2026-07-20 23:01:07,25.1,45.1,NORMAL,72.0
2026-07-20 23:01:10,25.1,45.0,NORMAL,72.0
2026-07-20 23:01:16,25.1,45.0,NORMAL,72.0
2026-07-20 23:01:19,25.1,45.0,NORMAL,72.0
2026-07-20 23:01:23,25.1,44.9,NORMAL,72.0
2026-07-20 23:01:29,25.1,44.9,NORMAL,72.0
2026-07-20 23:01:32,25.1,44.9,NORMAL,72.0
2026-07-20 23:01:35,25.0,44.9,NORMAL,72.0
2026-07-20 23:01:41,25.1,44.9,NORMAL,72.0
2026-07-20 23:01:45,25.0,44.9,NORMAL,72.0
2026-07-20 23:01:48,25.0,44.9,NORMAL,72.0
2026-07-20 23:01:51,25.1,44.9,NORMAL,72.0
2026-07-20 23:01:55,25.0,44.9,NORMAL,72.0
2026-07-20 23:01:58,25.0,44.9,NORMAL,72.0
2026-07-20 23:02:02,25.0,45.0,NORMAL,72.0
2026-07-20 23:02:07,25.1,45.0,NORMAL,72.0
2026-07-20 23:02:11,25.0,45.0,NORMAL,72.0
2026-07-20 23:02:14,25.0,45.0,NORMAL,72.0
